ID,Section,Total,Year,Repeat
8cb62c08e2695c3e196ce7bf4a8152c344ab73318cdae5580a8825211de2baa3,1,97.78,1,0
df8e5c6d0707db0ccbf67c8cc86763fad20aeb4ef6322c5bc27704c2bd22ce69,2,95.56,1,0
0e2f5ec7f3639a6efd42afd171278231d7878b7c0e0ebdcd985c1f847c2fa2e1,1,95.56,1,0
76eb7e409171b6f9a4178e4c9bc11f4fc8f8cfd8e8d0d83bf61a27419f18cc43,1,94.44,1,0
c7234fee9a45b76f1190bf680ee556b1d00a6d58e665f9eb3af116c7d081b53b,1,93.33,1,0
a28fc604bd64c8b769a99090f2641c1159ab73d14391ab49ee75cafb203f3341,1,93.33,1,0
b33e0df5a5990dc7db8954eb26236c2f7c084a85f479eec015972d08fad5ddae,1,93.33,1,0
6033570e4c60277ce81c57d71dfc2341a7253a164a3711b8deb539fc77307145,1,92.22,1,0
a8caae4027ae450db66b52010b60b9de04cb52e74b63b07b5f988142a9c695fa,1,92.22,1,0
95f9e1e8aeb27fa56eba8f79d8ae79c629e3fa9efaf60ce7dd3eeba7cc451686,2,91.11,1,0
18f1d6fb62d8c718bd94e3f816883f8e9a1eb535329a5a47cd0ad6408caba628,1,90,1,0
3ad69be71ee805b3bfe1e9862968c3b5f66a6d7e34c3a7a2b68559c7ece22b6a,1,90,1,0
a0eb9444d1c2795e068289c32d4457f0043039ee139ce36fda9aef0361508014,1,90,1,0
5a4b3ccc98f160678b16fd2f351a5f23832a2a4ce6bcb3af678ea5e4d7936fe7,1,88.89,1,0
3d583f0425b799bba99af4842e34378ba02fe8d5d9fa40a11871b08f67d51372,1,87.78,1,0
19c35bf94f49e2fc42cf7020fff7106e8d3baf180e7494181c224ca3323959f9,1,87.78,1,0
6f9ce4f339ca0ba03ee9203efde44c76b79a09eaa5dc6e8509b1f36d8523e204,1,87.78,1,0
69ec3e3cc8a06b62aa171af955224b4f62b02be8de90408064dc5c4478e44939,1,87.78,1,0
ae39141051bac54ead5fc336e75a15afd6c8d24dad0478d22fd335d7e431d41d,2,86.67,1,0
a64f49313b29717e59f6bd6686e9c8646dff92a06f0b30cb08c65a538ba0fbd5,3,85.56,1,0
5e0fcbb6ae76c63c6777dcbf7653079f29f7a6def3283cfa73fc14cd7fcef91c,1,84.44,1,0
70914d920c504c08e79970dc2785d628be27a608eecd31c4511cdfd4fb907133,1,84.44,1,0
362636661cb8be561f2651b0337ef5d0ec659abadbac6d03f9f76b43d34d81ce,1,83.33,1,0
368400cd238273651225b5d1a59e4d30a6609ea2db7f64b0951261a227699e77,1,83.33,1,0
a9a10c945116b0fb214ab05b14ba4b7872efc31631d9e995d459fa08b062207e,1,82.22,1,0
4b529cbd6935c27995fdb1a15bd1594358584caed68c8b9bc8b05be53d4925d5,1,82.22,1,0
5bbc48a7ee70fc52e3329683b44b8200301c1e001e256f668306c190c5e5e92a,1,82.22,1,0
2950bf9f6e56544ae0c93c54c16eb4a1700cb5b2571e3b0b77acfaaa86919ad8,2,82.22,1,0
089b5a8b04eca03679332a9f13f9fb6c6e26df2260259d65f65539765da57c9b,1,81.11,1,0
b292a962f3d99633e2fbb76538df636c9c01cdb3e263cbf426a93cec912de9e5,1,81.11,1,0
89c9c67910672ad3e9fc21b7e293b61699ca26c8747f3a4f974563339e01b3a3,1,81.11,1,0
42d82a3b7ef5d813a037b3c4579c769ec09ae1318b1dcbb9fe783b2978da2574,3,80,1,0
d338fe2ee1870dce75aa6f0809953734363bcc5482659a932c8f7b6c87963b52,1,80,1,0
5cf64837ed684eabb40620df61cf46541be25a17f5898c3f822f166ae0dfb99f,1,80,1,0
8838b7ecd1741e02bdc7d6126ada6847f947639174f0cbb3f899769c1b01b836,3,77.78,1,0
e85d91368a10e2b2ec2017f5d65e34559218deaa3fce9345dad91af6538f0f3e,1,77.78,1,0
4be454e3647f23c35a907bfe578d6316b392b5d32985db5ce4ea232a4e15871c,3,77.78,1,0
bb3263a2d1e41def12c84c8148885d82a7b620f7b3e2cf6115926f7e774331b8,3,77.78,1,0
4711dc88a10b5cf9af04a3a39f8a4c9495d759622f503b2b4a21d5db3b3d676e,1,77.78,1,0
f3e3ffbe0883115058588720ef96e1dbae73cf9c583609469c0881e4e402d6d2,2,76.67,1,0
9d7a188ffb5b92462cc70a19dd8cb4c819dab0be901b7119f6059f493e05b28d,3,76.67,1,0
be33dab26b5d6b09cee65f83731d02a64d35480d502b59e9c18ff491306dc6ce,1,76.67,1,0
fe9eac5e61e8d43c5bc9c68627728439a4aed081ecc9e762d1cf866042e6c993,3,74.44,1,0
f167c7c333a89b483ab01ae14aa7b3f126be2c93ded67a47ea32fadf616754f3,1,74.44,1,0
b7c6ba4d54d273783d256f025066edcc444de18f04e6eb691d2fb9a3c6d2e3f0,1,74.44,1,0
882f0e8d63685ab6a73cb23c95defcd858c8dbec2a516a18d8d5c16924d5c3d9,3,74.44,1,0
2a743609f5bf2690e53ac00e6d2e9fe144beeb50e6f86cfe19241170473495ba,1,73.33,1,0
b415962969c08a08a30a57b83bd5ee2844f7b68670711dc255220aa3808f3ac7,2,73.33,1,0
8801eb5586abff5ef4735cb158007d3194afc74ce183fd523eb6f29749cbbcd8,1,73.33,1,0
745d33e74e4a9e29a5ef4cd4770d254daecfe68f82d949657c913a083c6e9f2b,1,72.22,1,0
b30556cc01baf7714723dc3e05858d9bdeadb488bbe688bc9c86bba7eef8fd81,2,71.11,1,0
586b849fb4f6e35303a68e5c0a60277b58d17ae4f3bda31aedcbfea8ce06ca70,1,71.11,1,0
5720aa71ed7caf45b3ddedac71e9fc077f63f70e123e36e307bb580540788110,2,71.11,1,0
b6d2c93d50cb46f414de422c8c097b325c53649e66202e3f560880b4e7224c7b,2,71.11,1,0
2c683e45d843fbeab3129d6b677459038024f26ee35e5216d1c92173ae88cb34,3,71.11,1,0
0b6d970b42cd5fb2ec7481b5afd711d9917f06892548c6e7181510c4078c2eaf,1,70,1,0
a6d6e9f26e3b0c356a55e88d10d324e0f71bc3347ba6286f6b6afc7456f47a42,1,70,1,0
90cdce4aecb39fda624b1a0cd008a44bd129fee9a7084e05dffe796214bee383,2,67.78,1,0
a79803d465e69fe785c18673373708f16e487f412438356fd545f19f1a743443,3,67.78,1,0
ca57aaa2e9b31dc2f6e2c89cb7268cd350fbb2b6129f0084bdc62247b2ff3c8b,2,66.67,1,0
8c0be60074a4e99faa191b50c184e7bfd3a3402dc755cb9d2d4bd76eb1596d4b,1,66.67,1,0
6f4677ccad23537ea26e2b451fa0cae5c3e501b09fa7100be01d9ec20d3b3ccf,2,65.56,1,0
fe93e6ac9c405ad9c65d7e4627759ce9c2cb7246ba1328fe3f93931d56316649,1,64.44,1,0
5bb75555f2cfa93501d2472682eeabaaabe1b56b73153077173a04599e163ae9,1,63.33,1,0
1afc42576aad58bb624f53b8fa488477122007a2c175d32fc84a5fb2a11ba1eb,2,63.33,1,0
00b1eb3233c93dccfbf6a43ebcce8efca57a8dd48f1e885926efa90c1c17dd06,1,63.33,1,0
80eb097880e46e74386f433bd4d1f799bbaaa8dfa1117e977bbe27ba59f442a4,1,63.33,1,0
1fabdc756d853f77dbff4c1854c2ddb40e7be7530ff4000fe4f89250be080ea7,2,62.22,1,0
7ef7bed4f600803b7c6fc1516497390787578f4abe3a29b045a89c280a6db602,2,62.22,1,0
1ff724030c83d1cda6c8645c180e991ea732350ea3b658114cf4de9a0218fb22,2,62.22,1,0
d853a95f4f477f10de28c763029015905a5c1b9af51504043740f9a15f1a8179,1,62.22,1,0
b8107b3db12e9a8aaa316b5fec448127f08856b346f3004df47a9edcb3bb499f,2,61.11,1,0
c9511525d440762dc25cc39353fb97a3a0be6f1856c04e347d0a13b1a682736e,3,61.11,1,0
4f0213ae8166069e669c2f31f452d149c5ab185f5a8b28b9a375b14d777680fd,3,61.11,1,0
5b30ef15b7b925601f034f5661c05bcc62f3dde385fe5c00d1ab166afdf6b558,3,61.11,1,0
420b69aa483f07eaf76ef0cb363163475ded62fbf2608f2b0e26c4b7379c4181,3,61.11,1,0
37f5404b70f615685c024f4fd1a1c80cd385ca4ed69356ab1214c77d5249d0ae,2,60,1,0
c807c84b82759475aa61949557be114fdaed0b44aecdc9e00f3d7afe1876527b,3,60,1,0
c96037987f4e6a774bd1105e23788202d2e0a34b94985ef0db0b09a1426d4207,3,60,1,0
e4b9375e3848744652df9602b3b0eeabd104f7cd8f22ada78e6677eeac8fbf61,2,58.89,1,0
403445c0eb891bf694d6bb82b426211a24f763d46f3c395096f7910ac1766655,3,58.89,1,0
b78a53bec001ace2f0c695ea1d263bdb1432fd0dce4f5e21dd05bb0928c9f6e1,3,58.89,1,0
0d9d4065df06eb5cd195eebf7d0bda841d10a0a8ddcd0e975151fa58869bcd17,3,58.89,1,0
