Section,Total,Year,Repeat
2,45.71,9,0
3,54.29,9,0
1,38.57,9,0
1,27.86,9,0
2,93.57,9,0
2,29.29,9,0
2,18.57,9,0
2,33.57,9,0
2,5.71,9,0
3,40.71,9,0
3,9.29,9,0
3,16.43,9,0
3,55,9,0
2,38.57,9,0
2,47.14,9,0
1,27.14,9,0
2,44.29,9,0
1,57.14,9,0
1,54.29,9,0
1,55.71,9,0
1,37.14,9,0
1,30.71,9,0
1,45,9,0
1,58.57,9,0
3,57.14,9,0
3,53.57,9,0
3,40,9,0
3,48.57,9,0
3,70,9,0
3,44.29,9,0
3,36.43,9,0
2,47.14,9,0
2,30,9,0
2,36.43,9,0
3,40.71,9,0
2,48.57,9,0
2,30,9,0
1,37.86,9,0
2,52.14,9,0
1,65.71,9,0
1,6.43,9,0
1,36.43,9,0
1,52.86,9,0
1,54.29,9,0
1,14.29,9,0
2,A,9,0
1,53.57,9,0
1,37.14,9,0
2,42.14,9,0
2,35,9,0
2,62.14,9,0
1,38.57,9,0
1,50,9,0
2,48.57,9,0
1,5.71,9,1
1,16.43,9,1
1,5.71,9,1
3,19.29,9,1
1,14.29,9,1
3,12.86,9,1
2,35,9,1
2,30.71,9,1
2,35.71,9,1
