Cohort,Section Y1,Midterm Y1,Final Y1,Teacher Midterm Y1,Teacher Final Y1,Section Y2,Exam Y2
1.0,1.0,,,,,1.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,3.0,,,,,3.0,35.56
1.0,2.0,,,,,2.0,35.56
1.0,1.0,,,,,1.0,34.44
1.0,2.0,,,,,2.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,1.0,,,,,1.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,2.0,,,,,2.0,33.33
1.0,3.0,,,,,3.0,33.33
1.0,3.0,,,,,3.0,33.33
1.0,3.0,,,,,3.0,32.22
1.0,3.0,,,,,3.0,32.22
1.0,3.0,,,,,3.0,32.22
1.0,2.0,,,,,2.0,31.11
1.0,3.0,,,,,3.0,31.11
1.0,3.0,,,,,3.0,31.11
1.0,2.0,,,,,2.0,30
1.0,1.0,,,,,1.0,30
1.0,3.0,,,,,3.0,30
1.0,3.0,,,,,3.0,30
1.0,2.0,,,,,2.0,28.89
1.0,1.0,,,,,1.0,28.89
1.0,3.0,,,,,3.0,28.89
1.0,3.0,,,,,3.0,27.78
1.0,3.0,,,,,3.0,27.78
1.0,1.0,,,,,1.0,25.56
1.0,2.0,,,,,2.0,25.56
1.0,2.0,,,,,2.0,25.56
1.0,3.0,,,,,3.0,24.44
1.0,1.0,,,,,1.0,24.44
1.0,2.0,,,,,2.0,23.33
1.0,3.0,,,,,3.0,23.33
1.0,3.0,,,,,3.0,21.11
1.0,3.0,,,,,3.0,21.11
1.0,3.0,,,,,3.0,20
1.0,1.0,,,,,1.0,17.78
1.0,1.0,,,,,1.0,15.56
1.0,3.0,,,,,3.0,14.44
1.0,2.0,,,,,2.0,Absent
1.0,3.0,,,,,3.0,Absent
2.0,2.0,28.5,42,2.0,1.0,2.0,Absent
2.0,2.0,13,9,2.0,1.0,2.0,Absent
2.0,1.0,76.5,67,2.0,1.0,1.0,92
2.0,1.0,78.5,61,2.0,1.0,1.0,92
2.0,1.0,69.5,64,2.0,1.0,1.0,91
2.0,1.0,61.5,70,2.0,1.0,1.0,91
2.0,1.0,71.5,65,2.0,1.0,1.0,91
2.0,1.0,79.5,68,2.0,1.0,1.0,90
2.0,2.0,49,50,2.0,1.0,2.0,90
2.0,1.0,72,85,2.0,1.0,1.0,90
2.0,1.0,67.5,55,2.0,1.0,1.0,90
2.0,1.0,63.5,65,2.0,1.0,1.0,89
2.0,1.0,62.5,65,2.0,1.0,1.0,88
2.0,1.0,61,58,2.0,1.0,1.0,88
2.0,1.0,56.5,61,2.0,1.0,1.0,88
2.0,1.0,75,62,2.0,1.0,1.0,87
2.0,2.0,68,63,2.0,1.0,2.0,87
2.0,1.0,67.5,61,2.0,1.0,1.0,87
2.0,3.0,60,46,2.0,1.0,3.0,87
2.0,2.0,71.5,67,2.0,1.0,2.0,86
2.0,3.0,41.5,57,2.0,1.0,3.0,86
2.0,1.0,62.5,41,2.0,1.0,1.0,86
2.0,2.0,66,55,2.0,1.0,2.0,85
2.0,3.0,76,67,2.0,1.0,3.0,84
2.0,1.0,54.5,33,2.0,1.0,1.0,84
2.0,1.0,57,56,2.0,1.0,1.0,83
2.0,1.0,62,53,2.0,1.0,1.0,83
2.0,1.0,56.5,41,2.0,1.0,1.0,83
2.0,3.0,67,51,2.0,1.0,3.0,82
2.0,1.0,56,51,2.0,1.0,1.0,82
2.0,1.0,55.5,63,2.0,1.0,1.0,82
2.0,1.0,63,55,2.0,1.0,1.0,82
2.0,3.0,67.5,53,2.0,1.0,3.0,81
2.0,1.0,54,58,2.0,1.0,1.0,81
2.0,1.0,46,39,2.0,1.0,1.0,81
2.0,1.0,67.5,29,2.0,1.0,1.0,81
2.0,1.0,50,36,2.0,1.0,1.0,81
2.0,1.0,72,60,2.0,1.0,1.0,81
2.0,3.0,46.5,48,2.0,1.0,3.0,80
2.0,1.0,70.5,67,2.0,1.0,1.0,80
2.0,1.0,63.5,66,2.0,1.0,1.0,80
2.0,1.0,59,64,2.0,1.0,1.0,80
2.0,3.0,63.5,54,2.0,1.0,3.0,79
2.0,1.0,84,73,2.0,1.0,1.0,79
2.0,1.0,53,44,2.0,1.0,1.0,79
2.0,1.0,71,69,2.0,1.0,1.0,78
2.0,1.0,50,47,2.0,1.0,1.0,78
2.0,3.0,64,55,2.0,1.0,3.0,77
