Section,Midterm,Final,Year,Repeat,Teacher midterm,Teacher final
1,13,26,1,0,2,1
2,34,31,1,0,2,1
1,50,47,1,0,2,1
3,43.5,46,1,0,2,1
3,47.5,35,1,0,2,1
2,31,29,1,0,2,1
2,29,26,1,0,2,1
1,12.5,8,1,0,2,1
3,18.5,22,1,0,2,1
3,41.5,57,1,0,2,1
3,33.5,A,1,0,2,1
2,17.5,17,1,0,2,1
1,48,55,1,0,2,1
2,20.5,37,1,0,2,1
2,12,16,1,0,2,1
2,15.5,13,1,0,2,1
3,24,40,1,0,2,1
3,29,26,1,0,2,1
1,72,60,1,0,2,1
3,39.5,53,1,0,2,1
2,19.5,11,1,0,2,1
1,33,19,1,0,2,1
2,13.5,16,1,0,2,1
1,39,29,1,0,2,1
2,43.5,38,1,0,2,1
2,16.5,11,1,0,2,1
2,10,2,1,0,2,1
2,15.5,24,1,0,2,1
2,22.5,34,1,0,2,1
2,38,27,1,0,2,1
2,28,21,1,0,2,1
1,14.5,4,1,0,2,1
2,11.5,3,1,0,2,1
1,62.5,41,1,0,2,1
2,37,49,1,0,2,1
1,34.5,29,1,0,2,1
3,16,A,1,0,2,1
3,31,18,1,0,2,1
3,50.5,41,1,0,2,1
3,25.5,35,1,0,2,1
3,4,,1,0,2,1
3,22.5,20,1,1,2,1
1,25,31,1,1,2,1
2,A,A,1,1,2,1
2,A,A,1,1,2,1
2,42.5,64,1,0,2,1
3,67,51,1,0,2,1
3,21,3,1,0,2,1
1,70.5,67,1,0,2,1
3,40.5,40.5,2,1,1,1
3,35.5,35,2,1,1,1
1,39.5,25,2,1,2,2
2,38.5,23.5,2,1,3,3
1,42.5,53,2,1,2,2
2,29,19.5,2,1,3,3
1,25.5,17,2,1,2,2
3,A,6.5,2,1,1,1
1,28,34.5,2,1,2,2
1,12,1.5,2,1,2,2
1,19.5,14.5,2,1,2,2
1,53.5,50,2,0,2,2
3,30.5,27.5,2,0,1,1
3,54.5,11,2,0,1,1
1,75.5,83.5,2,0,2,2
3,53.5,53,2,0,1,1
3,12.5,A,2,0,1,1
1,43,69.5,2,0,2,2
3,24.5,16,2,0,1,1
1,43,57,2,0,2,2
3,27.5,32,2,0,1,1
3,22.5,A,2,0,1,1
2,46,13.5,2,0,3,3
3,54.5,21,2,0,1,1
1,71,82.5,2,0,2,2
1,84,67,2,0,2,2
1,53,36,2,0,2,2
1,46.5,70,2,0,2,2
3,6,0.5,2,0,1,1
3,46.5,58,2,0,1,1
3,11,8.5,2,0,1,1
3,48.5,44,2,0,1,1
3,34,63,2,0,1,1
3,21,16.5,2,0,1,1
1,70,86,2,0,2,2
3,A,A,2,0,1,1
3,25.5,16,2,0,1,1
1,30.5,48,2,0,2,2
3,59,62,2,0,1,1
3,27.5,30.5,2,0,1,1
3,30,32,2,0,1,1
1,26.5,32,2,0,2,2
3,26,19,2,0,1,1
3,35,43,2,0,1,1
1,84.5,76.5,2,0,2,2
3,32.5,32.5,2,0,1,1
1,81.5,86.5,2,0,2,2
2,39.5,50.5,2,0,3,3
3,14,A,2,0,1,1
1,17.5,24.5,2,0,2,2
3,54,68.5,2,0,1,1
3,25.5,19,2,0,1,1
3,24.5,15,2,0,1,1
3,56,47.5,2,0,1,1
1,53.5,79,2,0,2,2
3,23,9,2,0,1,1
1,28.5,27,2,0,2,2
1,74.5,94,2,0,2,2
2,61.5,44.5,2,0,3,3
2,34,40,2,0,3,3
3,35.5,40,2,0,1,1
3,26,33.5,2,0,1,1
3,15.5,24,2,0,1,1
1,44,41.5,2,0,2,2
3,18,4.5,2,0,1,1
3,39,56,2,0,1,1
3,34,21,2,0,1,1
1,73,88,2,0,2,2
3,25.5,16.5,2,0,1,1
3,14.5,A,2,0,1,1
3,25,33,2,0,1,1
1,37,43,2,0,2,2
3,0,A,2,0,1,1
1,68,85.5,2,0,2,2
3,31.5,42,2,0,1,1
1,96,97,2,0,2,2
1,52,83,2,0,2,2
1,72.5,71.5,2,0,2,2
2,19,6.5,2,0,3,3
3,47,52,2,0,1,1
3,25,38.5,2,0,1,1
3,29.5,26,2,0,1,1
3,83.5,90,2,0,1,1
3,11,10.5,2,0,1,1
3,73.5,83,2,0,1,1
3,61.5,61,2,0,1,1
3,34,43.5,2,0,1,1
3,37,60,2,0,1,1
3,34.5,28,2,0,1,1
1,55.5,64.5,2,0,2,2
3,49.5,26.5,2,0,1,1
3,22.5,3,2,0,1,1
3,36.5,51,2,0,1,1
3,55,53.5,2,0,1,1
1,59.5,74.5,2,0,2,2
3,40.5,74.5,2,0,1,1
3,49,13.5,2,0,1,1
1,24,21,2,0,2,2
1,72,64,2,0,2,2
3,45,51,2,0,1,1
3,28.5,36,2,0,1,1
1,72,86.5,2,0,2,2
1,97,97.5,2,0,2,2
3,29,41.5,2,0,1,1
2,56.5,59,2,0,3,3
2,42,61,2,0,3,3
2,43.5,28.5,2,0,3,3
2,33,18.5,2,0,3,3
3,18.5,A,2,0,1,1
1,76,77.5,2,0,2,2
2,28.5,17,2,0,3,3
2,39.5,70.5,2,0,3,3
1,34.5,35.5,2,0,2,2
2,39,18,2,0,3,3
2,54.5,39,2,0,3,3
1,87,94.5,2,0,2,2
3,48.5,50,2,0,1,1
1,46.5,46.5,2,0,2,2
1,53.5,43.5,2,0,2,2
2,21,45,2,0,3,3
2,29,43,2,0,3,3
1,68,70.5,2,0,2,2
2,39.5,59,2,0,3,3
2,42.5,50,2,0,3,3
1,43,35,2,0,2,2
1,82.5,83.5,2,0,2,2
1,79,95.5,2,0,2,2
1,51,74,2,0,2,2
1,46,59.5,2,0,2,2
2,49.5,34.5,2,0,3,3
1,65.5,67,2,0,2,2
2,30.5,24.5,2,0,3,3
2,46.5,35.5,2,0,3,3
2,57,53.5,2,0,3,3
1,50.5,63.5,2,0,2,2
1,50,32,2,0,2,2
1,42.5,56.5,2,0,2,2
2,40,29,2,0,3,3
2,33,23,2,0,3,3
2,19.5,23,2,0,3,3
2,48.5,38,2,0,3,3
2,55,67,2,0,3,3
1,88,99,2,0,2,2
2,24,10.5,2,0,3,3
2,23,31,2,0,3,3
2,43,41,2,0,3,3
2,31.5,21.5,2,0,3,3
2,34,23,2,0,3,3
1,27,A,2,0,2,2
2,40.5,24.5,2,0,3,3
2,47,55.5,2,0,3,3
1,14.5,10.5,2,0,2,2
2,61.5,33.5,2,0,3,3
3,19,A,2,0,1,1
2,23,26,2,0,3,3
2,56.5,82,2,0,3,3
1,89,87.5,2,0,2,2
1,41.5,28,2,0,2,2
1,78,89,2,0,2,2
1,58,69.5,2,0,2,2
1,66.5,83,2,0,2,2
2,51,37.5,2,0,3,3
2,33.5,23,2,0,3,3
2,A,A,2,0,3,3
1,53,70,2,0,2,2
2,18,17,2,0,3,3
2,35.5,55.5,2,0,3,3
2,20,13,2,0,3,3
1,81,82.5,2,0,2,2
1,91,90.5,2,0,2,2
1,36,11,2,0,2,2
1,32,30,2,0,2,2
2,20,20.5,2,0,3,3
1,A,A,2,0,2,2
2,47.5,55,2,0,3,3
1,66,95.5,2,0,2,2
2,48,43,2,0,3,3
2,80.5,81.5,2,0,3,3
2,25.5,32,2,0,3,3
1,56.5,46.5,2,0,2,2
2,59,75.5,2,0,3,3
2,61.5,75,2,0,3,3
2,48,38,2,0,3,3
3,24,32.5,2,0,1,1
1,38,50,2,0,2,2
2,19.5,23.5,2,0,3,3
2,49,58,2,0,3,3
1,65,76.3,2,0,2,2
2,52,68,2,0,3,3
3,31,42,2,0,1,1
2,17,9.5,2,0,3,3
2,15,8,2,0,3,3
3,42.5,50.5,2,0,1,1
2,31.5,47.5,2,0,3,3
1,26,27.5,2,0,2,2
2,26,27.5,2,0,3,3
2,20,12.5,2,0,3,3
2,20,8.5,2,0,3,3
2,11.5,23,2,0,3,3
2,20.5,20.5,2,0,3,3
2,22,11,2,0,3,3
1,57.5,67.5,2,0,2,2
1,31,42,3,1,2,2
3,39.5,22.5,3,1,2,2
1,31.5,17.5,3,1,2,2
3,34.5,48.5,3,1,2,2
1,50,62,3,1,2,2
3,36,21,3,1,2,2
3,A,A,3,1,2,2
3,32,21.5,3,1,2,2
2,14,27,3,0,1,1
1,45,45,3,0,2,2
1,53.5,53.5,3,0,2,2
1,30.5,43,3,0,2,2
1,18.5,25,3,0,2,2
2,30.5,56,3,0,1,1
3,17.5,13.5,3,0,2,2
1,51,64.5,3,0,2,2
1,84,81,3,0,2,2
1,63.5,69.5,3,0,2,2
1,52,66.5,3,0,2,2
1,23.5,39.5,3,0,2,2
1,43,35,3,0,2,2
3,29,4.5,3,0,2,2
1,70,77.5,3,0,2,2
1,59,44.5,3,0,2,2
1,64.5,73.5,3,0,2,2
2,34.5,38,3,0,1,1
2,53,42,3,0,1,1
2,38,34.5,3,0,1,1
2,37.5,56.5,3,0,1,1
1,51.5,36,3,0,2,2
2,23.5,15,3,0,1,1
1,63,54.5,3,0,2,2
2,47,55,3,0,1,1
1,76.5,66,3,0,2,2
1,75.5,76,3,0,2,2
3,54.5,73,3,0,2,2
1,86,89,3,0,2,2
2,35.5,25.5,3,0,1,1
1,55,72.5,3,0,2,2
2,53,77,3,0,1,1
2,62,51.5,3,0,1,1
2,29,35.5,3,0,1,1
2,25.5,31,3,0,1,1
1,35,26,3,0,2,2
1,24.5,34,3,0,2,2
3,26.5,50.5,3,0,2,2
1,39,34.5,3,0,2,2
2,33.5,14,3,0,1,1
2,73.5,71.5,3,0,1,1
2,47,33,3,0,1,1
2,61.5,69,3,0,1,1
2,47.5,73.5,3,0,1,1
2,34,38.5,3,0,1,1
2,13.5,9.5,3,0,1,1
2,33.5,14.5,3,0,1,1
1,74.5,84.5,3,0,2,2
1,43.5,34.5,3,0,2,2
2,26.5,28,3,0,1,1
1,60,71,3,0,2,2
2,41,37,3,0,1,1
1,92,87.5,3,0,2,2
2,43.5,29.5,3,0,1,1
1,65,73.5,3,0,2,2
2,21,8,3,0,1,1
2,26,58,3,0,1,1
2,32,58.5,3,0,1,1
2,38,26.5,3,0,1,1
2,15,10,3,0,1,1
2,29,19.5,3,0,1,1
1,47,60,3,0,2,2
2,35,37,3,0,1,1
1,36.5,39.5,3,0,2,2
2,21,30,3,0,1,1
2,29.5,23,3,0,1,1
2,25,20,3,0,1,1
2,52,52.5,3,0,1,1
1,52,53.5,3,0,2,2
2,56.5,70.5,3,0,1,1
2,31,14.5,3,0,1,1
1,68,66,3,0,2,2
2,29,22.5,3,0,1,1
3,18,31,3,0,2,2
2,57.5,69,3,0,1,1
3,17,23,3,0,2,2
3,32,43.5,3,0,2,2
2,53,69.5,3,0,1,1
2,37,20.5,3,0,1,1
2,44,34,3,0,1,1
2,56,68.5,3,0,1,1
2,32.5,43.5,3,0,1,1
3,17,22,3,0,2,2
1,59.5,74,3,0,2,2
3,30.5,64.5,3,0,2,2
3,15,16,3,0,2,2
1,61.5,45.5,3,0,2,2
1,43.5,40.5,3,0,2,2
1,68,63,3,0,2,2
3,32.5,25.5,3,0,2,2
2,64,59.5,3,0,1,1
3,38,58,3,0,2,2
1,95.5,96.5,3,0,2,2
3,67,79.5,3,0,2,2
2,87,65,3,0,1,1
2,31,38.5,3,0,1,1
3,42.5,65,3,0,2,2
3,29,35.5,3,0,2,2
2,26.5,54,3,0,1,1
3,57.5,68.5,3,0,2,2
2,47.5,53.5,3,0,1,1
3,25.5,30,3,0,2,2
2,22.5,19.5,3,0,1,1
3,37.5,49.5,3,0,2,2
3,33.5,45.5,3,0,2,2
2,35.5,40.5,3,0,1,1
1,55.5,53.5,3,0,2,2
3,47.5,57.5,3,0,2,2
2,32.5,26,3,0,1,1
1,37.5,62.5,3,0,2,2
3,35.5,18,3,0,2,2
2,30,16,3,0,1,1
3,22.5,44,3,0,2,2
1,71.5,73,3,0,2,2
3,20,12.5,3,0,2,2
2,33,36,3,0,1,1
3,35.5,37.5,3,0,2,2
2,62,68,3,0,1,1
1,22.5,14.5,3,0,2,2
1,49.5,77,3,0,2,2
2,35,39,3,0,1,1
2,31.5,30.5,3,0,1,1
3,57,73,3,0,2,2
2,26.5,16.5,3,0,1,1
2,41.5,62,3,0,1,1
1,42,51,3,0,2,2
2,20.5,20,3,0,1,1
2,32.5,45.5,3,0,1,1
2,68,69,3,0,1,1
3,54.5,79.5,3,0,2,2
3,58,56.5,3,0,2,2
1,75.5,91,3,0,2,2
2,67,67.5,3,0,1,1
3,39.5,39,3,0,2,2
3,20,57,3,0,2,2
3,30,27,3,0,2,2
1,72,84.5,3,0,2,2
3,56.5,54,3,0,2,2
3,22.5,22,3,0,2,2
3,A,A,3,0,2,2
3,40,61.5,3,0,2,2
1,68,77,3,0,2,2
3,34.5,39,3,0,2,2
3,46.5,65,3,0,2,2
3,34.5,48.5,3,0,2,2
3,39,44.5,3,0,2,2
1,79.5,89,3,0,2,2
3,50,67.5,3,0,2,2
1,74.5,87.5,3,0,2,2
1,68,76.5,3,0,2,2
3,26,33.5,3,0,2,2
3,10,13,3,0,2,2
3,64.5,72,3,0,2,2
2,19,30.5,3,0,1,1
1,39,52,3,0,2,2
1,63.5,73.5,3,0,2,2
3,28.5,38.5,3,0,2,2
3,31.5,15.5,3,0,2,2
2,35,50.5,3,0,1,1
3,57,82.5,3,0,2,2
1,36.5,40.5,3,0,2,2
3,A,A,3,0,2,2
1,27,23,3,0,2,2
2,21,22,3,0,1,1
1,23.5,53.5,3,0,2,2
1,69,79.5,3,0,2,2
3,20.5,33.5,3,0,2,2
3,A,A,3,0,2,2
3,30,27.5,3,0,2,2
3,62,69,3,0,2,2
3,41.5,42.5,3,0,2,2
1,68.5,64.5,3,0,2,2
3,48,38.5,3,0,2,2
3,17.5,8,3,0,2,2
3,40.5,52.5,3,0,2,2
1,75,72,3,0,2,2
3,66,81,3,0,2,2
3,18,63.5,3,0,2,2
3,40.5,57,3,0,2,2
2,23.5,15.5,3,0,1,1
3,33,43,3,0,2,2
3,22.5,21.5,3,0,2,2
3,A,A,3,0,2,2
3,38,59.5,3,0,2,2
3,47,64,3,0,2,2
3,62,77,3,0,2,2
3,59,69.5,3,0,2,2
3,35,36.5,3,0,2,2
3,46.5,34.5,3,0,2,2
3,41.5,56,3,0,2,2
3,20.5,47.5,3,0,2,2
3,57,69,3,0,2,2
3,45,54.5,3,0,2,2
3,25,19.5,3,0,2,2
3,71,58.5,3,0,2,2
3,A,A,3,0,2,2
3,45.5,50,3,0,2,2
1,21,16.5,4,1,2,2
2,39,24,4,1,1,1
3,5.5,A,4,1,2,2
1,26,20,4,1,2,2
2,26.5,31.5,4,0,1,1
2,58,42.5,4,0,1,1
2,40,29,4,0,1,1
2,65,60.5,4,0,1,1
2,33,19.5,4,0,1,1
1,64.5,61.5,4,0,2,2
3,38,42.5,4,0,2,2
2,44.5,27.5,4,0,1,1
1,78,80.5,4,0,2,2
1,57.5,63.5,4,0,2,2
1,69,76.5,4,0,2,2
3,75.5,77,4,0,2,2
1,53,33.5,4,0,2,2
1,85,73,4,0,2,2
1,92.5,87,4,0,2,2
1,83,74,4,0,2,2
2,66,64,4,0,1,1
3,37,16,4,0,2,2
2,54,51.5,4,0,1,1
2,36,25,4,0,1,1
1,55,47.5,4,0,2,2
2,44.5,33.5,4,0,1,1
2,56,36.5,4,0,1,1
2,40.5,33.5,4,0,1,1
2,25,22.5,4,0,1,1
2,48.5,58,4,0,1,1
3,20.5,26,4,0,2,2
2,36.5,39,4,0,1,1
